,IncNodePurity,Features
PRO_MaxPartialCharge,2893.82121879637,PRO_MaxPartialCharge
PRO_PEOE_VSA7,1863.44648149463,PRO_PEOE_VSA7
PRO_MaxAbsPartialCharge,1787.58592568623,PRO_MaxAbsPartialCharge
PRO_SlogP_VSA5,1645.8052950961,PRO_SlogP_VSA5
PRO_VSA_EState9,1601.2512166592,PRO_VSA_EState9
PRO_MinAbsPartialCharge,1568.5018900785,PRO_MinAbsPartialCharge
PRO_VSA_EState8,1506.36311233653,PRO_VSA_EState8
PRO_BCUT2D_CHGLO,1470.25407621219,PRO_BCUT2D_CHGLO
RCTB_MaxAbsPartialCharge,1462.59666371336,RCTB_MaxAbsPartialCharge
PRO_Chi1,1440.61322706812,PRO_Chi1
PRO_VSA_EState1,1412.15806694564,PRO_VSA_EState1
PRO_SlogP_VSA3,1406.03750162286,PRO_SlogP_VSA3
PRO_Chi0,1394.2570596664,PRO_Chi0
RCTB_MinPartialCharge,1363.68135485722,RCTB_MinPartialCharge
PRO_VSA_EState4,1319.39274602574,PRO_VSA_EState4
PRO_MolWt,1319.22706401805,PRO_MolWt
PRO_EState_VSA9,1297.16639213723,PRO_EState_VSA9
CAT_FractionCSP3,1288.92346012856,CAT_FractionCSP3
CAT_Chi4v,1281.9733149625,CAT_Chi4v
CAT_MinEStateIndex,1274.31324255619,CAT_MinEStateIndex
PRO_Chi0n,1264.98468554485,PRO_Chi0n
CAT_HallKierAlpha,1264.90716098647,CAT_HallKierAlpha
PRO_Kappa2,1213.37429064596,PRO_Kappa2
PRO_Kappa3,1211.14365322965,PRO_Kappa3
PRO_MinEStateIndex,1207.38708174171,PRO_MinEStateIndex
CAT_BertzCT,1190.86440092125,CAT_BertzCT
PRO_VSA_EState5,1182.53820747321,PRO_VSA_EState5
PRO_LabuteASA,1164.48590313561,PRO_LabuteASA
PRO_MinPartialCharge,1154.33061672212,PRO_MinPartialCharge
PRO_MolMR,1146.64697984795,PRO_MolMR
PRO_Chi1n,1132.58271506014,PRO_Chi1n
PRO_ExactMolWt,1120.68254035594,PRO_ExactMolWt
PRO_SlogP_VSA2,1098.4466806675,PRO_SlogP_VSA2
PRO_MaxAbsEStateIndex,1094.58667644125,PRO_MaxAbsEStateIndex
PRO_SMR_VSA1,1086.41309365991,PRO_SMR_VSA1
PRO_PEOE_VSA8,1075.56775691664,PRO_PEOE_VSA8
PRO_HeavyAtomMolWt,1066.27023142678,PRO_HeavyAtomMolWt
PRO_FpDensityMorgan3,1058.93000461701,PRO_FpDensityMorgan3
RCTB_MinEStateIndex,1058.81552196476,RCTB_MinEStateIndex
PRO_MaxEStateIndex,1050.00403476571,PRO_MaxEStateIndex
PRO_BertzCT,1042.35743955598,PRO_BertzCT
PRO_Chi3v,1030.2830651668,PRO_Chi3v
RCTB_MinAbsPartialCharge,1017.97585518831,RCTB_MinAbsPartialCharge
RCTB_BCUT2D_CHGHI,1007.3802506955,RCTB_BCUT2D_CHGHI
CAT_MolWt,1005.16795739764,CAT_MolWt
RCTB_MinAbsEStateIndex,995.544725131117,RCTB_MinAbsEStateIndex
RCTB_BertzCT,975.820019492664,RCTB_BertzCT
CAT_NumValenceElectrons,952.630671982024,CAT_NumValenceElectrons
RCTB_Kappa2,941.457600228253,RCTB_Kappa2
RCTB_MaxPartialCharge,923.178048024431,RCTB_MaxPartialCharge
CAT_SMR_VSA7,920.517357552779,CAT_SMR_VSA7
PRO_EState_VSA1,916.379312611632,PRO_EState_VSA1
RCTB_BCUT2D_CHGLO,911.801856958804,RCTB_BCUT2D_CHGLO
PRO_Chi0v,905.660133932367,PRO_Chi0v
CAT_Chi2v,904.570938820079,CAT_Chi2v
PRO_MolLogP,901.695398510894,PRO_MolLogP
RCTB_BCUT2D_LOGPLOW,896.807801957828,RCTB_BCUT2D_LOGPLOW
PRO_NumRotatableBonds,892.134537665112,PRO_NumRotatableBonds
RCTB_BCUT2D_MRLOW,884.27486881795,RCTB_BCUT2D_MRLOW
CAT_VSA_EState4,877.19791621075,CAT_VSA_EState4
PRO_qed,876.054279624754,PRO_qed
PRO_Chi2v,875.183291869752,PRO_Chi2v
PRO_FpDensityMorgan2,864.137990955539,PRO_FpDensityMorgan2
PRO_SMR_VSA5,863.45192014914,PRO_SMR_VSA5
RCTB_Kappa3,861.268117508607,RCTB_Kappa3
PRO_BCUT2D_LOGPHI,859.572854000007,PRO_BCUT2D_LOGPHI
CAT_VSA_EState8,855.980676261593,CAT_VSA_EState8
RCTB_BCUT2D_LOGPHI,853.17398228201,RCTB_BCUT2D_LOGPHI
PRO_Chi1v,850.515204348799,PRO_Chi1v
CAT_LabuteASA,845.309519260318,CAT_LabuteASA
RCTB_PEOE_VSA7,841.151901304935,RCTB_PEOE_VSA7
CAT_qed,840.170242840945,CAT_qed
CAT_233,840.129470323237,CAT_233
CAT_Chi0v,838.395718467469,CAT_Chi0v
RCTB_ExactMolWt,824.007472913778,RCTB_ExactMolWt
PRO_VSA_EState7,822.294873220325,PRO_VSA_EState7
PRO_BCUT2D_CHGHI,811.921443903634,PRO_BCUT2D_CHGHI
RCTB_VSA_EState1,811.603348915861,RCTB_VSA_EState1
RCTB_PEOE_VSA8,808.903509332078,RCTB_PEOE_VSA8
PRO_NumValenceElectrons,804.865462909939,PRO_NumValenceElectrons
RCTB_MaxEStateIndex,801.187765653807,RCTB_MaxEStateIndex
RCTB_MaxAbsEStateIndex,799.15544597593,RCTB_MaxAbsEStateIndex
RCTB_HeavyAtomMolWt,796.096360665428,RCTB_HeavyAtomMolWt
CAT_Chi1v,792.251024471869,CAT_Chi1v
CAT_EState_VSA1,790.192082238464,CAT_EState_VSA1
RCTB_MolWt,789.205775771105,RCTB_MolWt
CAT_Chi3v,787.717476625891,CAT_Chi3v
RCTB_SMR_VSA7,787.209642507472,RCTB_SMR_VSA7
CAT_PEOE_VSA8,786.027636785343,CAT_PEOE_VSA8
RCTB_Chi1v,785.646148061148,RCTB_Chi1v
PRO_Chi4v,785.383777538417,PRO_Chi4v
RCTB_PEOE_VSA6,785.024060214651,RCTB_PEOE_VSA6
PRO_MinAbsEStateIndex,781.585350794743,PRO_MinAbsEStateIndex
PRO_BalabanJ,781.510795904195,PRO_BalabanJ
PRO_Chi3n,781.502265681728,PRO_Chi3n
RCTB_FpDensityMorgan2,779.018929849933,RCTB_FpDensityMorgan2
RCTB_HallKierAlpha,778.678692544984,RCTB_HallKierAlpha
RCTB_BCUT2D_MWHI,768.595303974666,RCTB_BCUT2D_MWHI
PRO_BCUT2D_MRHI,766.38079337426,PRO_BCUT2D_MRHI
PRO_Kappa1,765.572536241291,PRO_Kappa1
RCTB_EState_VSA1,762.415330884345,RCTB_EState_VSA1
PRO_FpDensityMorgan1,761.72548188347,PRO_FpDensityMorgan1
PRO_Chi4n,759.382332208983,PRO_Chi4n
CAT_SlogP_VSA5,754.316619846516,CAT_SlogP_VSA5
RCTB_MolMR,754.294338496848,RCTB_MolMR
RCTB_VSA_EState6,743.96859665579,RCTB_VSA_EState6
RCTB_BCUT2D_MWLOW,742.782503130676,RCTB_BCUT2D_MWLOW
RCTB_BCUT2D_MRHI,738.624943922393,RCTB_BCUT2D_MRHI
CAT_SlogP_VSA2,728.691982939299,CAT_SlogP_VSA2
CAT_Kappa1,728.125604456019,CAT_Kappa1
PRO_SlogP_VSA7,727.044389605842,PRO_SlogP_VSA7
PRO_PEOE_VSA6,726.825859057936,PRO_PEOE_VSA6
CAT_SMR_VSA10,723.293315860506,CAT_SMR_VSA10
PRO_SMR_VSA10,719.445229596249,PRO_SMR_VSA10
RCTB_MolLogP,716.439997346726,RCTB_MolLogP
CAT_ExactMolWt,715.916088498342,CAT_ExactMolWt
CAT_Kappa3,712.307790606661,CAT_Kappa3
CAT_Chi1n,710.064771035517,CAT_Chi1n
CAT_MaxAbsEStateIndex,709.998650524933,CAT_MaxAbsEStateIndex
CAT_SMR_VSA1,704.82298945983,CAT_SMR_VSA1
RCTB_Chi3v,699.059337551001,RCTB_Chi3v
PRO_VSA_EState6,693.797401208945,PRO_VSA_EState6
RCTB_SlogP_VSA5,693.55294673947,RCTB_SlogP_VSA5
PRO_Chi2n,691.968606873793,PRO_Chi2n
CAT_SMR_VSA5,690.288402046037,CAT_SMR_VSA5
RCTB_FpDensityMorgan1,688.969073984024,RCTB_FpDensityMorgan1
RCTB_VSA_EState8,686.974351791424,RCTB_VSA_EState8
CAT_TPSA,682.056299543224,CAT_TPSA
RCTB_qed,681.273643962592,RCTB_qed
SOL.CCCCCC,680.266538269131,SOL.CCCCCC
RCTB_SMR_VSA1,671.077629792457,RCTB_SMR_VSA1
CAT_PEOE_VSA9,669.919414324891,CAT_PEOE_VSA9
RCTB_LabuteASA,669.513426250839,RCTB_LabuteASA
CAT_MaxEStateIndex,666.916495304459,CAT_MaxEStateIndex
RCTB_Chi0v,666.648189168328,RCTB_Chi0v
RCTB_PEOE_VSA9,664.978590247049,RCTB_PEOE_VSA9
RCTB_Chi2n,664.818475896025,RCTB_Chi2n
CAT_EState_VSA9,662.116424374668,CAT_EState_VSA9
CAT_Chi2n,660.354978226475,CAT_Chi2n
PRO_HallKierAlpha,660.252250502915,PRO_HallKierAlpha
PRO_NumHAcceptors,651.653108252338,PRO_NumHAcceptors
PRO_SMR_VSA7,646.416914085386,PRO_SMR_VSA7
RCTB_Chi0n,644.999419861681,RCTB_Chi0n
CAT_HeavyAtomMolWt,643.75954910293,CAT_HeavyAtomMolWt
RCTB_FpDensityMorgan3,640.417741906511,RCTB_FpDensityMorgan3
RCTB_Chi3n,639.177215679261,RCTB_Chi3n
RCTB_Chi2v,637.267248597303,RCTB_Chi2v
CAT_MolMR,635.772916692066,CAT_MolMR
RCTB_Chi1n,626.782822734828,RCTB_Chi1n
CAT_PEOE_VSA7,624.253111168962,CAT_PEOE_VSA7
PRO_EState_VSA8,623.279496935059,PRO_EState_VSA8
PRO_BCUT2D_MWHI,611.178735933854,PRO_BCUT2D_MWHI
CAT_VSA_EState6,610.662386333189,CAT_VSA_EState6
PRO_FractionCSP3,603.519146129038,PRO_FractionCSP3
RCTB_Chi0,601.457361571068,RCTB_Chi0
PRO_EState_VSA10,597.825809503523,PRO_EState_VSA10
RCTB_Kappa1,596.671701539586,RCTB_Kappa1
RCTB_Chi4n,594.05282003992,RCTB_Chi4n
RCTB_Chi1,593.86391006662,RCTB_Chi1
PRO_TPSA,589.64424043645,PRO_TPSA
RCTB_HeavyAtomCount,588.890643478682,RCTB_HeavyAtomCount
CAT_Chi3n,588.178011342756,CAT_Chi3n
RCTB_BalabanJ,586.093567274125,RCTB_BalabanJ
RCTB_VSA_EState4,584.911708746285,RCTB_VSA_EState4
CAT_Chi0n,584.641115029008,CAT_Chi0n
PRO_HeavyAtomCount,582.122763738887,PRO_HeavyAtomCount
PRO_PEOE_VSA9,577.12720386226,PRO_PEOE_VSA9
CAT_Chi4n,567.714804648392,CAT_Chi4n
RCTB_Chi4v,567.660863224868,RCTB_Chi4v
PRO_NOCount,562.06392353168,PRO_NOCount
CAT_FpDensityMorgan3,557.923381767635,CAT_FpDensityMorgan3
CAT_SlogP_VSA6,556.151038130052,CAT_SlogP_VSA6
PRO_NumHeteroatoms,548.670491983884,PRO_NumHeteroatoms
RCTB_SlogP_VSA6,547.639479889169,RCTB_SlogP_VSA6
RCTB_VSA_EState5,539.38582679664,RCTB_VSA_EState5
RCTB_FractionCSP3,536.658023667683,RCTB_FractionCSP3
CAT_VSA_EState2,529.222811827192,CAT_VSA_EState2
CAT_VSA_EState1,524.781725709179,CAT_VSA_EState1
CAT_VSA_EState9,523.760866295404,CAT_VSA_EState9
RCTB_VSA_EState7,522.525688107461,RCTB_VSA_EState7
RCTB_NumValenceElectrons,518.380152385368,RCTB_NumValenceElectrons
RCTB_EState_VSA9,517.733892423898,RCTB_EState_VSA9
RCTB_TPSA,515.385903078404,RCTB_TPSA
CAT_VSA_EState7,511.044536327986,CAT_VSA_EState7
CAT_Kappa2,510.721483746139,CAT_Kappa2
RCTB_SMR_VSA10,507.580638859933,RCTB_SMR_VSA10
CAT_193,502.334201217754,CAT_193
PRO_PEOE_VSA1,499.365816284929,PRO_PEOE_VSA1
CAT_EState_VSA10,498.29594418635,CAT_EState_VSA10
CAT_VSA_EState5,491.530543190126,CAT_VSA_EState5
RCTB_EState_VSA8,487.120943318506,RCTB_EState_VSA8
RCTB_SMR_VSA5,484.442556520128,RCTB_SMR_VSA5
CAT_SlogP_VSA12,475.76742313511,CAT_SlogP_VSA12
PRO_PEOE_VSA14,472.651014027034,PRO_PEOE_VSA14
PRO_SlogP_VSA6,471.158592374336,PRO_SlogP_VSA6
RCTB_SlogP_VSA3,468.019304888247,RCTB_SlogP_VSA3
CAT_fr_Ar_N,466.652339154985,CAT_fr_Ar_N
RCTB_SlogP_VSA2,466.272801265088,RCTB_SlogP_VSA2
CAT_Chi1,462.189133059377,CAT_Chi1
CAT_114,456.259538833337,CAT_114
CAT_152,453.750122731031,CAT_152
PRO_VSA_EState3,452.41160666669,PRO_VSA_EState3
PRO_BCUT2D_MWLOW,451.483467402618,PRO_BCUT2D_MWLOW
CAT_138,450.465975077438,CAT_138
CAT_MolLogP,440.449639836909,CAT_MolLogP
CAT_SlogP_VSA3,439.587095958728,CAT_SlogP_VSA3
PRO_237,438.942916594948,PRO_237
CAT_Chi0,437.264960706858,CAT_Chi0
CAT_NumRotatableBonds,437.139410089561,CAT_NumRotatableBonds
CAT_FpDensityMorgan2,437.023222055591,CAT_FpDensityMorgan2
PRO_BCUT2D_LOGPLOW,430.181667584906,PRO_BCUT2D_LOGPLOW
RCTB_NOCount,424.593431997219,RCTB_NOCount
CAT_VSA_EState3,416.462000028652,CAT_VSA_EState3
CAT_HeavyAtomCount,412.5267578856,CAT_HeavyAtomCount
CAT_PEOE_VSA6,411.081836120561,CAT_PEOE_VSA6
PRO_VSA_EState2,410.962462045557,PRO_VSA_EState2
RCTB_NumRotatableBonds,401.729175888029,RCTB_NumRotatableBonds
CAT_fr_pyridine,392.547230352433,CAT_fr_pyridine
CAT_PEOE_VSA1,386.832261834103,CAT_PEOE_VSA1
CAT_212,382.595180555725,CAT_212
RCTB_SMR_VSA6,377.063403072754,RCTB_SMR_VSA6
CAT_BalabanJ,374.235986641576,CAT_BalabanJ
CAT_NOCount,371.815807765238,CAT_NOCount
RCTB_SlogP_VSA8,364.147221084686,RCTB_SlogP_VSA8
CAT_NumHeteroatoms,356.382008994248,CAT_NumHeteroatoms
CAT_NumAromaticHeterocycles,353.46066507195,CAT_NumAromaticHeterocycles
RCTB_SlogP_VSA4,352.195308526431,RCTB_SlogP_VSA4
RCTB_VSA_EState2,349.623081480899,RCTB_VSA_EState2
PRO_157,348.979745754254,PRO_157
RCTB_PEOE_VSA1,346.819571314337,RCTB_PEOE_VSA1
CAT_MinPartialCharge,344.073352283748,CAT_MinPartialCharge
CAT_SMR_VSA6,337.48287675541,CAT_SMR_VSA6
PRO_SMR_VSA6,337.132716976408,PRO_SMR_VSA6
PRO_172,333.225530091171,PRO_172
CAT_FpDensityMorgan1,332.925592216215,CAT_FpDensityMorgan1
CAT_116,331.212917342264,CAT_116
CAT_SlogP_VSA8,326.508803730965,CAT_SlogP_VSA8
RCTB_PEOE_VSA10,324.770264998478,RCTB_PEOE_VSA10
PRO_202,320.51889467066,PRO_202
RCTB_SMR_VSA9,319.369679026119,RCTB_SMR_VSA9
CAT_SMR_VSA4,316.189043585876,CAT_SMR_VSA4
CAT_SMR_VSA9,313.415518989139,CAT_SMR_VSA9
PRO_BCUT2D_MRLOW,306.644378877852,PRO_BCUT2D_MRLOW
PRO_215,304.274389602879,PRO_215
PRO_SlogP_VSA4,302.116758578358,PRO_SlogP_VSA4
RCTB_102,297.21334155436,RCTB_102
PRO_248,296.115120395932,PRO_248
CAT_201,291.18258205587,CAT_201
CAT_RingCount,282.063862974408,CAT_RingCount
CAT_63,280.544938016605,CAT_63
CAT_SlogP_VSA1,280.162454681511,CAT_SlogP_VSA1
CAT_96,277.991053166326,CAT_96
RCTB_VSA_EState3,277.234259920835,RCTB_VSA_EState3
CAT_131,275.575228684758,CAT_131
PRO_80,272.046025896226,PRO_80
PRO_141,271.559029640971,PRO_141
CAT_NumAromaticRings,268.288541320852,CAT_NumAromaticRings
CAT_SMR_VSA3,266.197827456066,CAT_SMR_VSA3
RCTB_174,260.800994505575,RCTB_174
PRO_101,259.872970503616,PRO_101
PRO_67,257.008424290085,PRO_67
ADD..B...CC..CC.CC..Na...O.O,253.259833347894,ADD..B...CC..CC.CC..Na...O.O
RCTB_116,250.247071240718,RCTB_116
RCTB_163,249.233631927414,RCTB_163
CAT_PEOE_VSA2,247.943451859661,CAT_PEOE_VSA2
CAT_EState_VSA8,247.625088720605,CAT_EState_VSA8
PRO_SMR_VSA3,242.130161844089,PRO_SMR_VSA3
CAT_188,240.593519046262,CAT_188
RCTB_NumHAcceptors,238.23380011127,RCTB_NumHAcceptors
PRO_84,236.984527774572,PRO_84
RCTB_PEOE_VSA5,234.299761343907,RCTB_PEOE_VSA5
CAT_218,233.963471919389,CAT_218
PRO_fr_aniline,231.113348248195,PRO_fr_aniline
RCTB_NumHeteroatoms,227.618280871474,RCTB_NumHeteroatoms
CAT_100,226.5201532782,CAT_100
CAT_NumAromaticCarbocycles,220.408839662519,CAT_NumAromaticCarbocycles
PRO_NumSaturatedRings,219.1957935062,PRO_NumSaturatedRings
PRO_12,219.116667519725,PRO_12
PRO_NumAliphaticRings,219.075134314255,PRO_NumAliphaticRings
CAT_fr_benzene,218.655238272687,CAT_fr_benzene
RCTB_VSA_EState9,217.218132877252,RCTB_VSA_EState9
RCTB_183,216.133736768892,RCTB_183
PRO_SMR_VSA4,208.378756771142,PRO_SMR_VSA4
CAT_91,202.549490462809,CAT_91
CAT_NumHAcceptors,200.951387417245,CAT_NumHAcceptors
RCTB_PEOE_VSA2,193.783159290733,RCTB_PEOE_VSA2
RCTA_BCUT2D_LOGPHI,189.427175896998,RCTA_BCUT2D_LOGPHI
CAT_192,189.061927501087,CAT_192
RCTA_PEOE_VSA9,188.93522725446,RCTA_PEOE_VSA9
PRO_244,187.647255062039,PRO_244
PRO_NumSaturatedHeterocycles,187.296341707186,PRO_NumSaturatedHeterocycles
RCTA_Chi0,186.473744442876,RCTA_Chi0
CAT_81,185.320544410069,CAT_81
RCTB_SMR_VSA3,185.200211890069,RCTB_SMR_VSA3
RCTB_fr_allylic_oxid,184.688120790185,RCTB_fr_allylic_oxid
RCTA_Chi3n,184.147201999711,RCTA_Chi3n
PRO_102,184.126604626659,PRO_102
RCTB_RingCount,179.984305853586,RCTB_RingCount
RCTA_BCUT2D_CHGHI,178.817150280767,RCTA_BCUT2D_CHGHI
CAT_64,177.56246796856,CAT_64
RCTA_BCUT2D_CHGLO,177.076863391293,RCTA_BCUT2D_CHGLO
CAT_SlogP_VSA4,176.081866296018,CAT_SlogP_VSA4
PRO_29,175.619297643456,PRO_29
CAT_203,174.181426413784,CAT_203
RCTA_HeavyAtomCount,174.060791295157,RCTA_HeavyAtomCount
CAT_PEOE_VSA3,172.723327685714,CAT_PEOE_VSA3
PRO_168,172.602488470775,PRO_168
PRO_241,171.149150602452,PRO_241
CAT_1,171.017290889402,CAT_1
PRO_183,170.832194228721,PRO_183
PRO_PEOE_VSA10,170.328990265076,PRO_PEOE_VSA10
PRO_182,169.530776058557,PRO_182
RCTA_TPSA,168.214865970341,RCTA_TPSA
PRO_fr_allylic_oxid,167.591787502612,PRO_fr_allylic_oxid
RCTB_216,166.428358679924,RCTB_216
PRO_25,165.419237427056,PRO_25
PRO_SlogP_VSA1,164.452750310658,PRO_SlogP_VSA1
PRO_RingCount,164.24243448488,PRO_RingCount
RCTB_141,162.59293961002,RCTB_141
CAT_27,160.805800106594,CAT_27
PRO_199,160.192478779689,PRO_199
RCTA_92,160.189763537174,RCTA_92
PRO_NumAliphaticHeterocycles,159.581670834746,PRO_NumAliphaticHeterocycles
PRO_204,158.929797920628,PRO_204
PRO_SlogP_VSA10,158.38958066699,PRO_SlogP_VSA10
RCTB_31,157.896192674366,RCTB_31
CAT_fr_NH0,157.515169317534,CAT_fr_NH0
RCTB_EState_VSA10,156.680777056804,RCTB_EState_VSA10
RCTB_86,156.468250125839,RCTB_86
PRO_PEOE_VSA2,154.680313942965,PRO_PEOE_VSA2
RCTA_Chi0v,154.195566511628,RCTA_Chi0v
PRO_200,153.580345913308,PRO_200
RCTA_Kappa1,151.891034492885,RCTA_Kappa1
RCTA_MinAbsEStateIndex,151.758618021542,RCTA_MinAbsEStateIndex
RCTB_SMR_VSA4,151.74021341298,RCTB_SMR_VSA4
RCTA_Kappa2,150.434163108648,RCTA_Kappa2
RCTB_113,150.358438821541,RCTB_113
RCTB_Ipc,148.042807373137,RCTB_Ipc
PRO_216,147.679620467182,PRO_216
RCTA_Chi4v,146.957040906209,RCTA_Chi4v
PRO_46,146.757446274604,PRO_46
RCTA_MaxAbsEStateIndex,145.962195773173,RCTA_MaxAbsEStateIndex
CAT_fr_para_hydroxylation,145.611067354126,CAT_fr_para_hydroxylation
RCTB_39,144.982196581702,RCTB_39
PRO_39,144.528667443166,PRO_39
RCTA_Chi1,143.855850374289,RCTA_Chi1
RCTA_VSA_EState1,143.645584833418,RCTA_VSA_EState1
RCTB_fr_ether,142.636918914975,RCTB_fr_ether
RCTA_PEOE_VSA8,142.584671083839,RCTA_PEOE_VSA8
PRO_181,142.374542925692,PRO_181
PRO_64,142.293549897274,PRO_64
PRO_105,140.77307270941,PRO_105
RCTA_BCUT2D_MRHI,139.702674931945,RCTA_BCUT2D_MRHI
RCTA_FpDensityMorgan2,139.615567719342,RCTA_FpDensityMorgan2
PRO_SlogP_VSA8,139.423434397314,PRO_SlogP_VSA8
RCTA_FpDensityMorgan3,139.102891761347,RCTA_FpDensityMorgan3
CAT_fr_C_O,138.68601128114,CAT_fr_C_O
PRO_175,137.623007823817,PRO_175
RCTB_212,137.40028947678,RCTB_212
RCTB_NumAliphaticCarbocycles,137.065132483502,RCTB_NumAliphaticCarbocycles
