,MeanDecreaseGini,Features
CAT_MinEStateIndex,5.5040961750602,CAT_MinEStateIndex
CAT_Chi4v,5.24640991586257,CAT_Chi4v
CAT_Chi3v,5.04458289098646,CAT_Chi3v
CAT_Chi2v,3.3806933707888,CAT_Chi2v
CAT_96,2.82744323564954,CAT_96
CAT_Chi1v,2.75771115845767,CAT_Chi1v
CAT_FractionCSP3,2.46327013864145,CAT_FractionCSP3
CAT_SMR_VSA5,2.41210837768327,CAT_SMR_VSA5
CAT_MolWt,2.13228235608777,CAT_MolWt
CAT_NumHeteroatoms,2.11247444875887,CAT_NumHeteroatoms
CAT_BertzCT,2.08701239998644,CAT_BertzCT
PRO_MaxPartialCharge,1.9208544197249,PRO_MaxPartialCharge
CAT_EState_VSA9,1.87706217357947,CAT_EState_VSA9
RCTB_HallKierAlpha,1.78820496818649,RCTB_HallKierAlpha
CAT_MaxEStateIndex,1.74528221003279,CAT_MaxEStateIndex
CAT_HallKierAlpha,1.7434466949077,CAT_HallKierAlpha
CAT_114,1.70872425414551,CAT_114
CAT_MaxAbsEStateIndex,1.6448538862787,CAT_MaxAbsEStateIndex
CAT_HeavyAtomMolWt,1.52304088054993,CAT_HeavyAtomMolWt
CAT_Chi0v,1.47632041597632,CAT_Chi0v
CAT_ExactMolWt,1.46699211817608,CAT_ExactMolWt
CAT_233,1.43532197182366,CAT_233
PRO_BCUT2D_CHGLO,1.36991894822478,PRO_BCUT2D_CHGLO
RCTB_SlogP_VSA3,1.31285574965244,RCTB_SlogP_VSA3
CAT_SMR_VSA10,1.2023488846671,CAT_SMR_VSA10
RCTB_MinPartialCharge,1.18393776141967,RCTB_MinPartialCharge
CAT_PEOE_VSA9,1.17004184149523,CAT_PEOE_VSA9
PRO_HallKierAlpha,1.16466817156689,PRO_HallKierAlpha
CAT_SlogP_VSA6,1.08122804735297,CAT_SlogP_VSA6
PRO_MinPartialCharge,1.08045138509134,PRO_MinPartialCharge
CAT_SMR_VSA1,1.0684425613362,CAT_SMR_VSA1
CAT_SMR_VSA7,1.06549516828057,CAT_SMR_VSA7
CAT_VSA_EState9,1.04098489180907,CAT_VSA_EState9
CAT_SlogP_VSA4,1.03890509112811,CAT_SlogP_VSA4
CAT_NumValenceElectrons,1.01139216795197,CAT_NumValenceElectrons
RCTB_MaxAbsPartialCharge,1.0091152245452,RCTB_MaxAbsPartialCharge
PRO_MaxAbsPartialCharge,0.998687682583164,PRO_MaxAbsPartialCharge
RCTB_VSA_EState8,0.972606287216047,RCTB_VSA_EState8
CAT_VSA_EState3,0.937187084192423,CAT_VSA_EState3
CAT_VSA_EState8,0.921128340492559,CAT_VSA_EState8
RCTB_Kappa1,0.904046431553695,RCTB_Kappa1
CAT_VSA_EState7,0.876213395374769,CAT_VSA_EState7
RCTB_PEOE_VSA9,0.839984878047474,RCTB_PEOE_VSA9
CAT_193,0.818685715384997,CAT_193
CAT_EState_VSA1,0.805898636779171,CAT_EState_VSA1
RCTB_VSA_EState4,0.790948619574783,RCTB_VSA_EState4
CAT_TPSA,0.781473273102555,CAT_TPSA
CAT_VSA_EState4,0.770227541613171,CAT_VSA_EState4
CAT_PEOE_VSA8,0.76935494372647,CAT_PEOE_VSA8
PRO_VSA_EState8,0.743946168407607,PRO_VSA_EState8
PRO_BCUT2D_CHGHI,0.72597185322524,PRO_BCUT2D_CHGHI
CAT_NumAromaticRings,0.711857985344826,CAT_NumAromaticRings
RCTB_Kappa2,0.707620630197623,RCTB_Kappa2
PRO_SlogP_VSA2,0.701672553334609,PRO_SlogP_VSA2
PRO_VSA_EState5,0.697607500335032,PRO_VSA_EState5
CAT_SlogP_VSA2,0.661922075525287,CAT_SlogP_VSA2
RCTB_SlogP_VSA2,0.659312181396034,RCTB_SlogP_VSA2
RCTB_MolLogP,0.646239235752614,RCTB_MolLogP
PRO_PEOE_VSA7,0.644926671788253,PRO_PEOE_VSA7
PRO_Kappa3,0.644293114006207,PRO_Kappa3
CAT_Kappa1,0.643387899567656,CAT_Kappa1
PRO_PEOE_VSA8,0.641336197750931,PRO_PEOE_VSA8
CAT_SlogP_VSA5,0.611701948107295,CAT_SlogP_VSA5
CAT_Chi0,0.610619263751095,CAT_Chi0
PRO_EState_VSA9,0.607262131319128,PRO_EState_VSA9
PRO_237,0.607163610369724,PRO_237
PRO_Chi4v,0.605465417720191,PRO_Chi4v
CAT_SlogP_VSA3,0.602439560221679,CAT_SlogP_VSA3
CAT_VSA_EState1,0.60090532847705,CAT_VSA_EState1
RCTB_BCUT2D_CHGHI,0.599147822437969,RCTB_BCUT2D_CHGHI
PRO_MolLogP,0.5886261306499,PRO_MolLogP
PRO_MinEStateIndex,0.585209513500806,PRO_MinEStateIndex
RCTB_BCUT2D_LOGPHI,0.583447671641981,RCTB_BCUT2D_LOGPHI
PRO_NumValenceElectrons,0.579583963002933,PRO_NumValenceElectrons
PRO_MaxEStateIndex,0.579357225592167,PRO_MaxEStateIndex
CAT_SlogP_VSA8,0.578200399145612,CAT_SlogP_VSA8
RCTB_PEOE_VSA7,0.575865436746112,RCTB_PEOE_VSA7
RCTB_MaxPartialCharge,0.575357539391814,RCTB_MaxPartialCharge
PRO_BalabanJ,0.57432604441785,PRO_BalabanJ
RCTB_SMR_VSA6,0.572777270347717,RCTB_SMR_VSA6
RCTB_BCUT2D_MRHI,0.564365358938329,RCTB_BCUT2D_MRHI
CAT_VSA_EState6,0.54950788166505,CAT_VSA_EState6
PRO_MinAbsPartialCharge,0.549190363321352,PRO_MinAbsPartialCharge
PRO_SMR_VSA6,0.546301831678726,PRO_SMR_VSA6
CAT_qed,0.535742487568296,CAT_qed
PRO_Kappa2,0.533892628261929,PRO_Kappa2
PRO_qed,0.528607554347216,PRO_qed
RCTB_Chi3n,0.527120774533898,RCTB_Chi3n
RCTB_BertzCT,0.526027404519131,RCTB_BertzCT
RCTB_116,0.523890351856682,RCTB_116
PRO_Chi3v,0.51869685184972,PRO_Chi3v
CAT_Chi3n,0.516087561161491,CAT_Chi3n
RCTB_TPSA,0.515595932045734,RCTB_TPSA
CAT_MolMR,0.514846432512234,CAT_MolMR
RCTB_SlogP_VSA5,0.504246394908434,RCTB_SlogP_VSA5
PRO_PEOE_VSA9,0.503331987717713,PRO_PEOE_VSA9
PRO_MolMR,0.500248259852993,PRO_MolMR
RCTB_BCUT2D_CHGLO,0.492448170522111,RCTB_BCUT2D_CHGLO
PRO_Chi3n,0.484269000106578,PRO_Chi3n
PRO_BertzCT,0.480975122193149,PRO_BertzCT
CAT_15,0.471179822184534,CAT_15
CAT_Kappa3,0.461998434823049,CAT_Kappa3
PRO_MaxAbsEStateIndex,0.458060730509275,PRO_MaxAbsEStateIndex
PRO_VSA_EState1,0.457836587035822,PRO_VSA_EState1
PRO_TPSA,0.456535619644816,PRO_TPSA
PRO_Kappa1,0.45620574787364,PRO_Kappa1
RCTB_226,0.455622683299812,RCTB_226
PRO_BCUT2D_MRHI,0.454572729009077,PRO_BCUT2D_MRHI
RCTB_Kappa3,0.454540322542571,RCTB_Kappa3
RCTB_BCUT2D_MWLOW,0.453416843389252,RCTB_BCUT2D_MWLOW
RCTB_FpDensityMorgan2,0.45189520645272,RCTB_FpDensityMorgan2
RCTB_SMR_VSA7,0.446829190947865,RCTB_SMR_VSA7
CAT_RingCount,0.446717832892862,CAT_RingCount
PRO_200,0.443876912888948,PRO_200
CAT_LabuteASA,0.441341531487235,CAT_LabuteASA
RCTB_HeavyAtomMolWt,0.435215213429385,RCTB_HeavyAtomMolWt
RCTB_fr_Ndealkylation1,0.431803006683809,RCTB_fr_Ndealkylation1
PRO_BCUT2D_LOGPHI,0.430793592456211,PRO_BCUT2D_LOGPHI
PRO_PEOE_VSA6,0.424450418664808,PRO_PEOE_VSA6
RCTB_MaxEStateIndex,0.421012390493655,RCTB_MaxEStateIndex
CAT_Chi1,0.420368681143761,CAT_Chi1
RCTB_FpDensityMorgan1,0.419717967913868,RCTB_FpDensityMorgan1
RCTB_FpDensityMorgan3,0.413110513587433,RCTB_FpDensityMorgan3
RCTB_183,0.413030557809443,RCTB_183
PRO_101,0.412385209808462,PRO_101
RCTB_Chi1v,0.40935326004106,RCTB_Chi1v
CAT_EState_VSA10,0.402946557549418,CAT_EState_VSA10
CAT_PEOE_VSA7,0.39980604337385,CAT_PEOE_VSA7
RCTB_BCUT2D_MRLOW,0.396671821436012,RCTB_BCUT2D_MRLOW
RCTB_VSA_EState6,0.392597894727912,RCTB_VSA_EState6
RCTB_EState_VSA9,0.390644363634064,RCTB_EState_VSA9
RCTB_qed,0.389609079649117,RCTB_qed
PRO_NumHAcceptors,0.384306556453117,PRO_NumHAcceptors
RCTB_BCUT2D_MWHI,0.381697250179451,RCTB_BCUT2D_MWHI
CAT_BalabanJ,0.380922481207612,CAT_BalabanJ
PRO_ExactMolWt,0.380597836975054,PRO_ExactMolWt
RCTB_BalabanJ,0.377117087867856,RCTB_BalabanJ
PRO_202,0.369764239485762,PRO_202
PRO_VSA_EState4,0.368386726159768,PRO_VSA_EState4
RCTB_PEOE_VSA13,0.365596354893115,RCTB_PEOE_VSA13
PRO_LabuteASA,0.36510833836824,PRO_LabuteASA
RCTB_LabuteASA,0.365092713633377,RCTB_LabuteASA
RCTB_PEOE_VSA6,0.363087137721041,RCTB_PEOE_VSA6
PRO_VSA_EState2,0.362691860215006,PRO_VSA_EState2
PRO_VSA_EState9,0.361712029928643,PRO_VSA_EState9
PRO_SlogP_VSA5,0.357734834964853,PRO_SlogP_VSA5
RCTB_VSA_EState1,0.356290445728276,RCTB_VSA_EState1
PRO_PEOE_VSA1,0.354988711933608,PRO_PEOE_VSA1
PRO_VSA_EState6,0.354935284326466,PRO_VSA_EState6
PRO_MinAbsEStateIndex,0.354106109226431,PRO_MinAbsEStateIndex
PRO_Chi1v,0.352796641525068,PRO_Chi1v
PRO_SMR_VSA10,0.351691380473478,PRO_SMR_VSA10
RCTB_MinAbsPartialCharge,0.350637274369823,RCTB_MinAbsPartialCharge
RCTB_ExactMolWt,0.349556728936689,RCTB_ExactMolWt
RCTB_SlogP_VSA6,0.344309712918189,RCTB_SlogP_VSA6
RCTB_MinEStateIndex,0.342261467773211,RCTB_MinEStateIndex
RCTB_PEOE_VSA1,0.341305114099523,RCTB_PEOE_VSA1
PRO_SlogP_VSA10,0.341114421066991,PRO_SlogP_VSA10
PRO_BCUT2D_MWHI,0.334255259933324,PRO_BCUT2D_MWHI
PRO_NOCount,0.333222251460452,PRO_NOCount
RCTB_Chi2n,0.332655319240146,RCTB_Chi2n
RCTB_BCUT2D_LOGPLOW,0.330523473656689,RCTB_BCUT2D_LOGPLOW
PRO_244,0.330063444175516,PRO_244
CAT_FpDensityMorgan1,0.328990385104945,CAT_FpDensityMorgan1
PRO_Chi0v,0.328412462325451,PRO_Chi0v
PRO_187,0.327507037586471,PRO_187
PRO_SMR_VSA1,0.325370707334549,PRO_SMR_VSA1
PRO_FractionCSP3,0.32118714193066,PRO_FractionCSP3
PRO_FpDensityMorgan2,0.317301000242281,PRO_FpDensityMorgan2
CAT_Chi4n,0.314689095463891,CAT_Chi4n
CAT_Chi2n,0.313293160724624,CAT_Chi2n
RCTB_EState_VSA1,0.311719759129092,RCTB_EState_VSA1
PRO_SMR_VSA7,0.311060087169263,PRO_SMR_VSA7
PRO_Chi0,0.308779933214873,PRO_Chi0
PRO_FpDensityMorgan1,0.306744075639273,PRO_FpDensityMorgan1
RCTB_PEOE_VSA8,0.30638710574711,RCTB_PEOE_VSA8
RCTB_FractionCSP3,0.30587010658853,RCTB_FractionCSP3
CAT_FpDensityMorgan3,0.303220189383049,CAT_FpDensityMorgan3
RCTB_SlogP_VSA10,0.300441257868218,RCTB_SlogP_VSA10
PRO_SlogP_VSA8,0.300155089203,PRO_SlogP_VSA8
RCTB_MinAbsEStateIndex,0.300135479971095,RCTB_MinAbsEStateIndex
RCTB_189,0.298671351446369,RCTB_189
PRO_199,0.296887664988421,PRO_199
RCTB_VSA_EState7,0.296536771331233,RCTB_VSA_EState7
RCTB_SMR_VSA10,0.295882080186415,RCTB_SMR_VSA10
PRO_SlogP_VSA6,0.29190886992741,PRO_SlogP_VSA6
PRO_FpDensityMorgan3,0.29173305839533,PRO_FpDensityMorgan3
RCTB_Chi4v,0.290652677684951,RCTB_Chi4v
CAT_202,0.289908620302068,CAT_202
PRO_EState_VSA1,0.288316473343556,PRO_EState_VSA1
RCTB_Chi0n,0.286926207137907,RCTB_Chi0n
CAT_Chi0n,0.277234208235269,CAT_Chi0n
RCTB_VSA_EState2,0.275273533672034,RCTB_VSA_EState2
RCTB_Chi4n,0.273980917661916,RCTB_Chi4n
RCTB_NumRotatableBonds,0.272713224683603,RCTB_NumRotatableBonds
RCTB_fr_amide,0.271538796635062,RCTB_fr_amide
PRO_NumRotatableBonds,0.271521028056348,PRO_NumRotatableBonds
PRO_SMR_VSA4,0.266283612700326,PRO_SMR_VSA4
PRO_VSA_EState7,0.265908309772019,PRO_VSA_EState7
PRO_255,0.262690744562215,PRO_255
RCTB_70,0.262409041277013,RCTB_70
CAT_VSA_EState2,0.261617189664374,CAT_VSA_EState2
PRO_HeavyAtomMolWt,0.260644174091919,PRO_HeavyAtomMolWt
PRO_157,0.260305831839936,PRO_157
RCTB_200,0.259126536606803,RCTB_200
CAT_201,0.258765357452089,CAT_201
PRO_Chi0n,0.255498855219176,PRO_Chi0n
RCTB_MaxAbsEStateIndex,0.255222398804761,RCTB_MaxAbsEStateIndex
CAT_82,0.253134333369302,CAT_82
CAT_186,0.252557650561243,CAT_186
PRO_Chi1,0.251080297467723,PRO_Chi1
RCTB_MolMR,0.249840745773566,RCTB_MolMR
CAT_fr_pyridine,0.247324415310508,CAT_fr_pyridine
PRO_SMR_VSA5,0.24711680542299,PRO_SMR_VSA5
PRO_12,0.246112561276159,PRO_12
RCTB_VSA_EState5,0.244400881195937,RCTB_VSA_EState5
RCTB_212,0.24379074995484,RCTB_212
RCTB_Chi0v,0.239722593622544,RCTB_Chi0v
RCTB_Chi1,0.239378280808111,RCTB_Chi1
CAT_Chi1n,0.236448566439283,CAT_Chi1n
RCTB_SMR_VSA1,0.231726426225143,RCTB_SMR_VSA1
PRO_93,0.231042936017159,PRO_93
CAT_Kappa2,0.229089182989597,CAT_Kappa2
RCTB_SlogP_VSA8,0.228423745492016,RCTB_SlogP_VSA8
RCTB_SMR_VSA5,0.227414360401213,RCTB_SMR_VSA5
RCTA_Kappa2,0.227056931177399,RCTA_Kappa2
CAT_125,0.226421583150884,CAT_125
RCTB_EState_VSA6,0.225864936173628,RCTB_EState_VSA6
RCTB_MolWt,0.22579543227607,RCTB_MolWt
CAT_NumHAcceptors,0.225170363919452,CAT_NumHAcceptors
CAT_182,0.224906305554263,CAT_182
RCTB_NumValenceElectrons,0.224892673673877,RCTB_NumValenceElectrons
PRO_EState_VSA10,0.223747074479556,PRO_EState_VSA10
RCTB_NOCount,0.223180609137607,RCTB_NOCount
PRO_SlogP_VSA1,0.221584703647945,PRO_SlogP_VSA1
PRO_PEOE_VSA10,0.219140019600849,PRO_PEOE_VSA10
PRO_EState_VSA8,0.216488272215413,PRO_EState_VSA8
CAT_FpDensityMorgan2,0.215983152549704,CAT_FpDensityMorgan2
CAT_SMR_VSA6,0.213596127853842,CAT_SMR_VSA6
RCTB_174,0.212732788101876,RCTB_174
PRO_Chi4n,0.210213515703156,PRO_Chi4n
PRO_BCUT2D_MWLOW,0.207845707927348,PRO_BCUT2D_MWLOW
PRO_87,0.207326844580394,PRO_87
PRO_Chi1n,0.206283045667441,PRO_Chi1n
RCTB_139,0.205910957436889,RCTB_139
RCTB_HeavyAtomCount,0.203552069836163,RCTB_HeavyAtomCount
CAT_PEOE_VSA2,0.20182156903606,CAT_PEOE_VSA2
RCTB_EState_VSA8,0.200682193126409,RCTB_EState_VSA8
CAT_fr_benzene,0.200628582058453,CAT_fr_benzene
RCTB_EState_VSA10,0.199168132844702,RCTB_EState_VSA10
PRO_SlogP_VSA4,0.198971293997265,PRO_SlogP_VSA4
RCTB_NumHeteroatoms,0.194102547964903,RCTB_NumHeteroatoms
PRO_75,0.19338754939225,PRO_75
CAT_63,0.192738066390802,CAT_63
RCTB_Chi0,0.188487009550156,RCTB_Chi0
PRO_96,0.188402805005612,PRO_96
CAT_64,0.187489029776532,CAT_64
RCTB_NumHAcceptors,0.183170440495849,RCTB_NumHAcceptors
RCTB_Chi1n,0.182721748598325,RCTB_Chi1n
CAT_212,0.181873065360111,CAT_212
RCTB_Chi2v,0.18053718814258,RCTB_Chi2v
CAT_74,0.180105447573197,CAT_74
PRO_VSA_EState3,0.179848685001207,PRO_VSA_EState3
CAT_175,0.177720691230401,CAT_175
PRO_Chi2n,0.175511035300969,PRO_Chi2n
PRO_14,0.175203264903887,PRO_14
RCTB_178,0.175075600070555,RCTB_178
PRO_172,0.172724882606203,PRO_172
PRO_25,0.171132415995626,PRO_25
RCTB_162,0.167911479451603,RCTB_162
RCTA_BalabanJ,0.165404067701888,RCTA_BalabanJ
PRO_Chi2v,0.16412196951937,PRO_Chi2v
RCTB_VSA_EState3,0.163667928367676,RCTB_VSA_EState3
PRO_HeavyAtomCount,0.162626770413107,PRO_HeavyAtomCount
PRO_MolWt,0.162206550017374,PRO_MolWt
RCTB_Chi3v,0.161742449273934,RCTB_Chi3v
CAT_SMR_VSA3,0.159274497928769,CAT_SMR_VSA3
RCTB_141,0.158259428225218,RCTB_141
PRO_SlogP_VSA3,0.157588633488916,PRO_SlogP_VSA3
CAT_203,0.157227863355397,CAT_203
CAT_NumAromaticHeterocycles,0.155682733341008,CAT_NumAromaticHeterocycles
PRO_fr_amide,0.155068544877724,PRO_fr_amide
RCTB_PEOE_VSA2,0.154168123120214,RCTB_PEOE_VSA2
CAT_fr_NH0,0.153148944516979,CAT_fr_NH0
RCTB_VSA_EState9,0.152250819364817,RCTB_VSA_EState9
PRO_249,0.15121816588064,PRO_249
CAT_NOCount,0.148610584221404,CAT_NOCount
CAT_PEOE_VSA5,0.148304679289374,CAT_PEOE_VSA5
CAT_VSA_EState5,0.14768582086471,CAT_VSA_EState5
PRO_BCUT2D_MRLOW,0.145712250824276,PRO_BCUT2D_MRLOW
CAT_HeavyAtomCount,0.14209919057686,CAT_HeavyAtomCount
RCTB_SlogP_VSA1,0.141495219954291,RCTB_SlogP_VSA1
PRO_115,0.140448079345674,PRO_115
RCTB_NumAromaticCarbocycles,0.138034777987635,RCTB_NumAromaticCarbocycles
CAT_138,0.134590212154568,CAT_138
RCTA_FpDensityMorgan2,0.133635677181573,RCTA_FpDensityMorgan2
CAT_131,0.132079079423676,CAT_131
PRO_197,0.131533493477857,PRO_197
RCTB_250,0.131152423085243,RCTB_250
RCTB_102,0.129945698119591,RCTB_102
PRO_SlogP_VSA7,0.128671581202385,PRO_SlogP_VSA7
PRO_fr_aniline,0.128574819463903,PRO_fr_aniline
CAT_PEOE_VSA6,0.12783802343247,CAT_PEOE_VSA6
CAT_fr_halogen,0.125221602093608,CAT_fr_halogen
PRO_89,0.123378023183679,PRO_89
RCTB_199,0.12289872183915,RCTB_199
PRO_SlogP_VSA11,0.121180690270211,PRO_SlogP_VSA11
RCTB_SlogP_VSA4,0.120268930047423,RCTB_SlogP_VSA4
RCTB_97,0.119491351386305,RCTB_97
RCTB_SMR_VSA9,0.119209673243912,RCTB_SMR_VSA9
RCTA_BCUT2D_LOGPHI,0.11869023024038,RCTA_BCUT2D_LOGPHI
RCTB_NumAliphaticHeterocycles,0.117380443475068,RCTB_NumAliphaticHeterocycles
PRO_fr_allylic_oxid,0.115768266325259,PRO_fr_allylic_oxid
RCTB_EState_VSA7,0.11502509575633,RCTB_EState_VSA7
RCTA_BCUT2D_CHGLO,0.114601045821471,RCTA_BCUT2D_CHGLO
RCTB_109,0.11267100000256,RCTB_109
CAT_SlogP_VSA1,0.110535002355382,CAT_SlogP_VSA1
PRO_86,0.109710380425127,PRO_86
CAT_MolLogP,0.109058215620796,CAT_MolLogP
RCTB_fr_benzene,0.10685956720709,RCTB_fr_benzene
RCTB_134,0.104953032403909,RCTB_134
RCTB_218,0.102372323650178,RCTB_218
RCTB_PEOE_VSA10,0.100722558892919,RCTB_PEOE_VSA10
PRO_204,0.0993184782635709,PRO_204
PRO_168,0.0990388317832666,PRO_168
PRO_fr_benzene,0.0988047990218724,PRO_fr_benzene
PRO_3,0.0982476695420807,PRO_3
RCTB_16,0.0967436908012898,RCTB_16
CAT_PEOE_VSA1,0.0958852830491112,CAT_PEOE_VSA1
PRO_84,0.0948913339754923,PRO_84
PRO_141,0.0944715233786166,PRO_141
CAT_fr_Ar_N,0.0943612275049878,CAT_fr_Ar_N
RCTB_176,0.0940470749858317,RCTB_176
RCTB_129,0.0935935885357573,RCTB_129
RCTB_SMR_VSA3,0.0934101289229544,RCTB_SMR_VSA3
PRO_131,0.0933398184132759,PRO_131
RCTA_MaxAbsEStateIndex,0.0924338888824257,RCTA_MaxAbsEStateIndex
RCTA_Kappa3,0.0922036339920021,RCTA_Kappa3
RCTB_163,0.0920592029829845,RCTB_163
CAT_91,0.0915831153963779,CAT_91
RCTB_fr_allylic_oxid,0.0914027158442196,RCTB_fr_allylic_oxid
PRO_164,0.0902156583459081,PRO_164
PRO_129,0.0898793956743963,PRO_129
CAT_MinPartialCharge,0.0895585188940126,CAT_MinPartialCharge
PRO_NumAliphaticRings,0.0889737954712281,PRO_NumAliphaticRings
PRO_NumSaturatedRings,0.088316100922033,PRO_NumSaturatedRings
PRO_191,0.088069913847891,PRO_191
PRO_227,0.0879586046564374,PRO_227
RCTA_FpDensityMorgan1,0.0876255866828484,RCTA_FpDensityMorgan1
CAT_NumAromaticCarbocycles,0.0867281923766915,CAT_NumAromaticCarbocycles
PRO_SMR_VSA3,0.0849747789673507,PRO_SMR_VSA3
RCTB_143,0.0843123912941248,RCTB_143
RCTB_113,0.0837593388705468,RCTB_113
PRO_43,0.0832004124862337,PRO_43
RCTB_228,0.0828647025814416,RCTB_228
CAT_PEOE_VSA3,0.082859152907603,CAT_PEOE_VSA3
PRO_BCUT2D_LOGPLOW,0.0825177230826667,PRO_BCUT2D_LOGPLOW
RCTB_87,0.0814853616983533,RCTB_87
RCTB_64,0.0814208636738542,RCTB_64
CAT_172,0.0806811508541135,CAT_172
CAT_SlogP_VSA12,0.0805747960673287,CAT_SlogP_VSA12
RCTB_86,0.0804556872604379,RCTB_86
CAT_162,0.0799475004642092,CAT_162
RCTB_54,0.0798550544781537,RCTB_54
RCTB_182,0.0785794408490061,RCTB_182
CAT_221,0.0777561910390264,CAT_221
